latitude,longitude,date,depth,Bottom Depth(m),Sample Press(dBar),Temperature(C),Salinity(psu),Sigma-t,Sigma-Theta,Oxygen(mg/L),Chlorophyll Fluorescence(µg/L),NO3+NO2(µM),Si(OH)4 (µM),PO4 (µM)
41.3639,-71.422,05:33.0,4,61,2,20.554,32.3729,22.614,22.6141,7.48715,0.609925,0.09,1.01,0.31
41.1282,-71.0219,55:34.0,4,67,2,13.0719,32.1046,24.1367,24.1368,8.67045,3.27828,0.59,2.32,0.38
40.9404,-70.7567,15:34.0,4,44,3,18.3394,32.2607,23.0926,23.0928,8.03996,1.6861,0.09,1.66,0.23
40.8762,-70.3816,25:34.0,4,53,3,16.898,32.3425,23.4993,23.4995,8.24726,1.32487,0.04,1.16,0.39
40.4664,-69.9003,48:27.0,4,39,3,18.203,32.325,23.1751,23.1752,7.9534,3.9731,0.09,0.29,0.36
40.8105,-69.1302,28:27.0,4,64,3,17.2037,32.2708,23.373,23.3731,8.14901,1.4828,0.09,1.53,0.25
40.6436,-68.3372,38:26.0,4,61,10,19.5463,32.4196,22.9117,22.9121,7.85928,1.42406,0.09,1.12,0.32
41.4818,-68.3369,28:27.0,4,67,10,13.0493,32.1139,24.1483,24.1485,8.64942,2.90074,0.7,2.35,0.54
41.4534,-67.8178,07:32.0,4,39,10,18.2044,32.3251,23.1748,23.1753,7.93584,3.88368,0.05,0.29,0.39
40.7645,-67.5984,27:31.0,4,64,10,NaN,NaN,NaN,NaN,NaN,2.71974,0.1,1.83,0.37
40.0251,-69.2298,10:50.0,4,53,12,16.295,32.3521,23.6452,23.6456,8.301,2.84698,0.05,1.66,0.5
40.1794,-70.3633,10:51.0,4,44,14,15.8942,32.2599,23.6646,23.665,8.62438,3.63442,0.09,1.99,0.24
40.1194,-71.1449,20:51.0,4,61,19,12.8222,32.656,24.6123,24.6128,9.48941,2.95871,0.41,1.35,0.43
40.2324,-71.885,10:51.0,4,67,20,12.7276,32.1592,24.2459,24.2464,8.43779,2.37679,1.28,2.48,0.42
40.5764,-72.9134,10:23.0,4,39,21,18.2056,32.3251,23.1746,23.1754,7.91882,4.09369,0.04,0.43,0.43
40.0532,-73.7517,20:23.0,4,64,21,14.1696,32.4267,24.1642,24.1648,7.97431,1.67084,1.62,2.57,0.45
39.4307,-72.8647,50:24.0,4,248,22,19.7889,34.8207,24.6804,24.6814,7.8569,0.975593,0.1,1.06,0.17
39.2962,-72.5357,56:31.0,4,44,25,14.25,32.2904,24.0423,24.043,8.27137,3.72151,0.19,2.48,0.37
39.3337,-73.3573,46:30.0,4,248,31,15.8506,34.8324,25.6527,25.6538,7.76798,2.2971,2.29,2.5,0.5
39.5502,-73.9067,36:31.0,4,67,32,12.6375,32.213,24.3049,24.3057,8.32659,1.80658,1.31,2.64,0.49
39.1722,-74.4051,36:30.0,4,53,35,15.2509,32.3775,23.8967,23.8978,7.7799,1.78527,0.71,2.59,0.46
38.7792,-74.0736,09:50.0,4,39,36,18.2094,32.3248,23.1734,23.1749,7.92575,3.97831,0.09,0.19,0.38
38.4777,-73.4073,19:49.0,4,67,40,12.6939,32.2904,24.354,24.355,8.24747,1.44523,1.66,2.6,0.52
38.4976,-74.4132,54:00.0,4,64,40,13.5422,32.4733,24.3283,24.3294,7.7991,1.01495,2.71,3.14,0.53
38.0192,-74.8676,29:50.0,4,44,41,13.1578,32.4603,24.395,24.3961,7.88025,1.5949,0.86,6.53,0.67
37.7251,-74.3009,19:41.0,4,53,50,15.1565,32.3805,23.9195,23.9211,7.77602,1.82039,1.04,2.7,0.4
37.6279,-75.0514,39:41.0,4,64,50,13.2847,32.5039,24.4035,24.4049,7.77955,0.955544,2.83,3.4,0.59
37.3665,-75.2359,49:42.0,4,67,51,11.5826,32.3627,24.6182,24.6194,8.25351,1.21118,2.07,3.19,0.55
37.0883,-75.672,26:03.0,4,248,52,12.2168,34.5628,26.2079,26.2093,6.97844,0.661353,7.38,4.47,0.66
36.9109,-74.9524,19:42.0,4,61,53,10.2736,32.828,25.2103,25.2113,7.42241,0.652899,5.48,8.17,0.66
36.529,-75.0004,49:42.0,4,64,61,12.7248,32.6154,24.5998,24.6014,7.70288,0.791004,2.97,3.48,0.54
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
