"","latitude","longitude","date","depth","temperature","salinity","chl_ctd","pc_ctd","cdom_ctd","chl_a676","X","Z"
"1",41.3639,-71.422,"2018-08-22 20:05:33.0",4,22.9616,31.3731,3.0008,0.1708,2.2575,6.0672,NA,-29
"2",41.3397,-71.4215,"2018-08-22 20:15:34.0",4,22.9605,31.3645,1.4036,0,3.7926,4.5728,NA,-29
"3",41.3143,-71.4218,"2018-08-22 20:25:34.0",4,22.8414,31.5827,1.0527,0.0854,9.7975,3.6196,NA,-23
"4",41.2886,-71.4227,"2018-08-22 20:35:34.0",4,22.6832,31.82,0.605,0.064,2.5284,2.4087,NA,-25
"5",41.2631,-71.4226,"2018-08-22 20:45:34.0",4,22.2266,32.0359,0.6655,0.1067,12.1454,2.2538,NA,-34
"6",41.2423,-71.4224,"2018-08-22 20:55:34.0",4,21.9499,32.0102,0.7078,0.1281,3.5217,2.3013,NA,-33
"7",41.2176,-71.4223,"2018-08-22 21:05:34.0",4,21.644,31.9809,0.8107,0.0854,7.1337,2.3563,NA,-34
"8",41.1925,-71.4226,"2018-08-22 21:15:34.0",4,21.7314,31.9779,0.7804,0.1067,6.5919,2.3045,NA,-42
"9",41.1719,-71.4352,"2018-08-22 21:25:34.0",4,21.7967,31.6555,0.8833,0.2135,2.5284,2.5816,NA,-22
"10",41.1562,-71.4525,"2018-08-22 21:35:33.0",4,21.6449,31.7896,0.9317,0,11.1972,2.4876,NA,-22
"11",41.1354,-71.4717,"2018-08-22 21:45:34.0",4,21.5519,31.8271,0.9559,0.1281,2.2123,2.4869,NA,-24
"12",41.1149,-71.4906,"2018-08-22 21:55:33.0",4,21.4447,31.8109,1.1011,0.064,12.4614,2.5753,NA,-24
"13",41.0963,-71.5095,"2018-08-22 22:05:34.0",4,21.4332,31.9738,1.0406,0,12.642,2.3997,NA,-23
"14",41.0926,-71.5356,"2018-08-22 22:15:34.0",4,21.4748,31.9919,1.0164,0.064,10.9263,2.3862,NA,-22
"15",41.089,-71.5678,"2018-08-22 22:25:34.0",4,21.5887,31.8761,1.2161,0.0854,11.5584,2.7335,NA,-24
"16",41.0863,-71.6013,"2018-08-22 22:35:34.0",4,21.4523,31.7942,1.4944,0.1067,4.9214,3.1185,NA,-35
"17",41.0822,-71.6288,"2018-08-22 22:45:34.0",4,21.2507,31.1545,2.2748,0.1708,11.0166,4.624,NA,-36
"18",41.0748,-71.6616,"2018-08-22 22:55:34.0",4,21.2964,30.8799,2.7346,0.0427,5.418,5.6783,NA,-35
"19",41.0749,-71.6731,"2018-08-22 23:05:34.0",4,21.16,30.9327,2.6015,0.0427,12.9581,5.4543,NA,-34
"20",41.0757,-71.6801,"2018-08-22 23:15:34.0",4,21.1818,30.8285,2.783,0.1067,3.9732,5.7709,NA,-33
"21",41.0636,-71.6721,"2018-08-22 23:25:34.0",4,21.1561,30.9154,2.6075,0.064,9.3912,5.4517,NA,-35
"22",41.0445,-71.6515,"2018-08-22 23:35:34.0",4,21.3369,31.0196,2.1417,0.1281,11.4681,4.5686,NA,-36
"23",41.0249,-71.6305,"2018-08-22 23:45:34.0",4,21.5936,31.2519,1.0285,0.1708,4.6053,2.8426,NA,-39
"24",41.0081,-71.6128,"2018-08-22 23:55:34.0",4,21.9676,31.9178,0.7744,0.1708,5.8243,2.2123,NA,-40
"25",40.9894,-71.5879,"2018-08-23 00:05:34.0",4,21.892,32.0756,0.8591,0.1281,3.7023,2.2381,NA,-41
"26",40.9705,-71.5639,"2018-08-23 00:15:34.0",4,22.1557,32.1726,1.1132,0.1921,9.9781,2.4235,NA,-50
"27",40.9517,-71.5409,"2018-08-23 00:25:34.0",4,22.9834,32.2625,0.9256,0.0854,3.8829,2.3771,NA,-52
"28",40.9354,-71.5233,"2018-08-23 00:35:34.0",4,24.0282,32.428,0.6897,0.0427,12.1905,2.4546,NA,-52
"29",40.9148,-71.5023,"2018-08-23 00:45:35.0",4,24.4369,32.4579,0.5808,0.1708,1.3545,2.6304,NA,-56
"30",40.9078,-71.4964,"2018-08-23 00:55:35.0",4,24.4713,32.456,0.605,0.0854,7.5852,2.647,NA,-55
"31",40.911,-71.5018,"2018-08-23 01:05:35.0",4,24.4303,32.4589,0.6171,0.0854,5.6889,2.732,NA,-56
"32",40.9099,-71.4905,"2018-08-23 01:15:35.0",4,24.4812,32.4577,0.5808,0.0854,6.6822,2.6593,NA,-55
"33",40.8975,-71.4607,"2018-08-23 01:25:34.0",4,24.4729,32.4263,0.6171,0.0854,10.4748,2.659,NA,-59
"34",40.8856,-71.4296,"2018-08-23 01:35:34.0",4,24.4449,32.4316,0.7381,0.1281,2.4832,2.8448,NA,-57
"35",40.8731,-71.3984,"2018-08-23 01:45:34.0",4,24.4188,32.3929,0.7381,0.1281,7.1337,2.758,NA,-57
"36",40.8626,-71.3729,"2018-08-23 01:55:34.0",4,24.505,32.3015,0.5324,0.1708,8.5785,2.4353,NA,-56
"37",40.8502,-71.3423,"2018-08-23 02:05:34.0",4,24.5121,32.2541,0.484,0.0854,2.6187,2.3454,NA,-56
"38",40.838,-71.3114,"2018-08-23 02:15:34.0",4,24.3624,32.1466,0.4719,0.2135,3.6572,2.2899,NA,-58
"39",40.8256,-71.2806,"2018-08-23 02:25:34.0",4,24.3085,32.1409,0.5324,0.1281,1.7157,2.2503,NA,-59
"40",40.8136,-71.2503,"2018-08-23 02:35:34.0",4,24.0221,32.0791,0.5445,0.0854,1.8963,2.1659,NA,-61
"41",40.8037,-71.2249,"2018-08-23 02:45:34.0",4,23.4919,32.0532,0.726,0.1708,3.4314,2.1332,NA,-58
"42",40.7917,-71.1947,"2018-08-23 02:55:34.0",4,22.9233,32.0692,0.6897,0.1494,6.7725,2.0339,NA,-58
"43",40.7796,-71.1651,"2018-08-23 03:05:34.0",4,22.9641,32.0896,0.8046,0.064,3.1605,2.0957,NA,-56
"44",40.7675,-71.1355,"2018-08-23 03:15:34.0",4,23.0533,32.0929,0.7139,0.0854,4.515,2.0888,NA,-56
"45",40.7574,-71.1114,"2018-08-23 03:25:34.0",4,23.3526,32.0735,0.726,0.1067,3.2508,2.1573,NA,-56
"46",40.7454,-71.0878,"2018-08-23 03:35:34.0",4,23.5224,32.0693,0.7139,0.0427,6.8628,2.1839,NA,-57
"47",40.7467,-71.0869,"2018-08-23 03:45:34.0",4,23.5465,32.0701,0.7139,0.0854,2.9799,2.1335,NA,-56
"48",40.7456,-71.0815,"2018-08-23 03:55:46.0",4,23.5247,32.0719,0.6897,0.0427,NA,2.1428,NA,-56
"49",40.7498,-71.0794,"2018-08-23 04:05:34.0",4,23.5694,32.0674,0.6776,0.0427,NA,2.1402,NA,-56
"50",40.7752,-71.0839,"2018-08-23 04:15:34.0",4,23.5824,32.0532,0.6171,0.0427,NA,2.1178,NA,-56
"51",40.8005,-71.0854,"2018-08-23 04:25:34.0",4,23.7413,32.0467,0.5747,0,1.806,2.1479,NA,-54
"52",40.8256,-71.0859,"2018-08-23 04:35:34.0",4,23.8156,32.0994,0.5566,0.0854,NA,2.1737,NA,-56
"53",40.8465,-71.0856,"2018-08-23 04:45:34.0",4,23.5506,32.1617,0.5324,0.0854,1.6705,2.1576,NA,-57
"54",40.8722,-71.0853,"2018-08-23 04:55:34.0",4,23.0789,32.1701,0.5203,0.1067,NA,2.0896,NA,-59
"55",40.8984,-71.0857,"2018-08-23 05:05:34.0",4,22.4299,32.1454,0.5445,0.0427,NA,2.0448,NA,-51
"56",40.9244,-71.0859,"2018-08-23 05:15:34.0",4,22.0041,32.1584,0.6292,0.0427,3.7023,2.0226,NA,-52
"57",40.9462,-71.0862,"2018-08-23 05:25:34.0",4,21.4028,32.0981,0.605,0.0854,1.9866,1.9211,NA,-51
"58",40.9722,-71.0884,"2018-08-23 05:35:34.0",4,21.1088,32.0773,0.5808,0.1281,6.321,1.8813,NA,-50
"59",40.9949,-71.0891,"2018-08-23 05:45:35.0",4,20.4128,32.0769,0.7865,0.064,2.3478,2.1012,NA,-47
"60",40.9972,-71.0836,"2018-08-23 05:55:34.0",4,20.2956,32.082,0.7623,0,10.0233,2.084,NA,-46
"61",41.0053,-71.0785,"2018-08-23 06:05:34.0",4,20.0378,32.0975,0.7865,0.0854,1.6254,2.1002,NA,-47
"62",41.031,-71.068,"2018-08-23 06:15:35.0",4,19.9148,32.1004,0.5324,0.0854,5.2825,1.8082,NA,-40
"63",41.0571,-71.0557,"2018-08-23 06:25:34.0",4,20.7358,32.1207,0.5082,0.0854,NA,1.8676,NA,-33
"64",41.0822,-71.0429,"2018-08-23 06:35:34.0",4,20.2193,32.0325,0.5929,0.1281,1.9414,1.9392,NA,-33
"65",41.1072,-71.0308,"2018-08-23 06:45:34.0",4,19.3072,31.8317,0.605,0.0427,NA,1.9594,NA,-32
