CNN_classlist,Diatom,Dinoflagellate,Coccolithophore,Ciliate,flagellate,Nano,Other live,Other not alive,IFCB artifact
Asterionellopsis_glacialis,1,0,0,0,0,0,0,0,0
Bacillaria,1,0,0,0,0,0,0,0,0
Bacillariophyceae,1,0,0,0,0,0,0,0,0
Bacteriastrum,1,0,0,0,0,0,0,0,0
Biddulphia,1,0,0,0,0,0,0,0,0
Cerataulina_pelagica,1,0,0,0,0,0,0,0,0
Chaetoceros,1,0,0,0,0,0,0,0,0
Chaetoceros_curvusetus,1,0,0,0,0,0,0,0,0
Chaetoceros_danicus,1,0,0,0,0,0,0,0,0
Chaetoceros_debilis,1,0,0,0,0,0,0,0,0
Chaetoceros_didymus,1,0,0,0,0,0,0,0,0
Chaetoceros_didymus_TAG_external_flagellate,1,0,0,0,0,0,0,0,0
Chaetoceros_peruvianis,1,0,0,0,0,0,0,0,0
Chaetoceros_similis,1,0,0,0,0,0,0,0,0
Chaetoceros_socialis,1,0,0,0,0,0,0,0,0
Chaetoceros_subtilis,1,0,0,0,0,0,0,0,0
Chaetoceros_TAG_external_pennate,1,0,0,0,0,0,0,0,0
Chaetoceros_throndsenii,1,0,0,0,0,0,0,0,0
Corethron_hystrix,1,0,0,0,0,0,0,0,0
Coscinodiscus,1,0,0,0,0,0,0,0,0
Cylindrotheca,1,0,0,0,0,0,0,0,0
Dactyliosolen_blavyanus,1,0,0,0,0,0,0,0,0
Dactyliosolen_fragilissimus,1,0,0,0,0,0,0,0,0
Delphineis,1,0,0,0,0,0,0,0,0
Ditylum_brightwellii,1,0,0,0,0,0,0,0,0
Ephemera,1,0,0,0,0,0,0,0,0
Eucampia,1,0,0,0,0,0,0,0,0
Guinardia_delicatula,1,0,0,0,0,0,0,0,0
Guinardia_delicatula_TAG_external_parasite,1,0,0,0,0,0,0,0,0
Guinardia_delicatula_TAG_internal_parasite,1,0,0,0,0,0,0,0,0
Guinardia_flaccida,1,0,0,0,0,0,0,0,0
Guinardia_striata,1,0,0,0,0,0,0,0,0
Hemiaulus,1,0,0,0,0,0,0,0,0
Lauderia_annulata,1,0,0,0,0,0,0,0,0
Leptocylindrus,1,0,0,0,0,0,0,0,0
