SST,Cmpn,Dpn,Cmp,Dp
6.17,0.664,0.542,0.198,0.251
6.27,0.657,0.547,0.198,0.254
6.36,0.647,0.555,0.197,0.26
6.45,0.64,0.566,0.195,0.267
6.54,0.636,0.577,0.194,0.274
6.63,0.634,0.583,0.193,0.277
6.72,0.632,0.587,0.192,0.278
6.81,0.631,0.592,0.192,0.278
6.89,0.634,0.597,0.192,0.278
6.98,0.648,0.598,0.194,0.276
7.07,0.674,0.596,0.197,0.275
7.15,0.703,0.596,0.201,0.274
7.24,0.726,0.597,0.206,0.274
7.33,0.743,0.597,0.212,0.273
7.41,0.751,0.598,0.216,0.273
7.5,0.752,0.602,0.219,0.273
7.58,0.75,0.609,0.22,0.274
7.66,0.753,0.617,0.222,0.277
7.75,0.757,0.626,0.224,0.28
7.83,0.758,0.635,0.226,0.283
7.92,0.754,0.645,0.228,0.286
8,0.744,0.655,0.228,0.288
8.08,0.734,0.665,0.227,0.292
8.16,0.726,0.678,0.224,0.299
8.24,0.726,0.685,0.223,0.303
8.33,0.729,0.687,0.223,0.304
8.41,0.731,0.686,0.224,0.303
8.49,0.734,0.688,0.227,0.302
8.56,0.738,0.692,0.229,0.302
8.64,0.74,0.7,0.231,0.304
8.72,0.743,0.71,0.231,0.306
8.79,0.75,0.718,0.233,0.308
8.87,0.761,0.721,0.234,0.308
8.95,0.773,0.719,0.235,0.309
9.03,0.783,0.716,0.235,0.311
9.1,0.785,0.719,0.234,0.314
9.18,0.78,0.729,0.232,0.318
9.26,0.774,0.74,0.232,0.32
9.34,0.772,0.743,0.234,0.319
9.42,0.771,0.744,0.236,0.316
9.5,0.77,0.746,0.237,0.316
9.58,0.77,0.751,0.236,0.32
9.66,0.766,0.76,0.234,0.329
9.73,0.756,0.774,0.233,0.339
9.81,0.748,0.788,0.232,0.347
9.88,0.744,0.797,0.233,0.353
9.96,0.739,0.808,0.235,0.356
10.04,0.731,0.819,0.237,0.355
10.12,0.724,0.829,0.237,0.352
10.2,0.722,0.834,0.236,0.351
10.27,0.719,0.84,0.235,0.355
10.35,0.719,0.843,0.234,0.359
10.42,0.722,0.844,0.235,0.361
10.5,0.726,0.845,0.235,0.363
10.57,0.724,0.852,0.234,0.365
10.65,0.718,0.861,0.233,0.367
10.72,0.711,0.867,0.232,0.371
10.79,0.708,0.871,0.23,0.378
10.85,0.707,0.873,0.227,0.387
10.92,0.707,0.873,0.224,0.397
10.98,0.71,0.868,0.222,0.405
11.05,0.709,0.866,0.221,0.407
11.11,0.702,0.871,0.218,0.409
11.18,0.687,0.882,0.214,0.414
11.24,0.671,0.891,0.21,0.422
11.31,0.655,0.897,0.208,0.427
11.37,0.642,0.901,0.207,0.427
11.44,0.634,0.903,0.207,0.424
11.5,0.629,0.902,0.206,0.422
11.56,0.628,0.899,0.206,0.422
11.63,0.63,0.893,0.206,0.421
11.69,0.635,0.888,0.207,0.419
11.75,0.64,0.884,0.207,0.418
11.8,0.646,0.881,0.206,0.42
11.86,0.651,0.876,0.205,0.425
11.92,0.655,0.875,0.204,0.432
11.97,0.655,0.878,0.203,0.437
12.02,0.654,0.882,0.203,0.441
12.08,0.655,0.883,0.204,0.442
12.13,0.664,0.878,0.204,0.44
12.19,0.677,0.871,0.205,0.439
12.24,0.69,0.867,0.206,0.434
12.29,0.709,0.858,0.209,0.429
12.35,0.741,0.841,0.211,0.424
12.4,0.778,0.824,0.215,0.417
12.45,0.799,0.815,0.221,0.403
12.5,0.798,0.816,0.227,0.389
12.55,0.789,0.821,0.229,0.385
12.6,0.783,0.825,0.228,0.386
12.65,0.775,0.829,0.226,0.387
12.71,0.77,0.829,0.224,0.386
12.76,0.773,0.824,0.221,0.386
12.81,0.775,0.822,0.218,0.387
12.86,0.768,0.826,0.216,0.387
